"bsn","Holzwerkstatt","Textilwerkstatt","Metallwerkstatt","Werkstatt für Elektronik","Keramikwerkstatt","Werkstatt","Werkstätten","Weberei","Bäckerei","Lehrküche","Lernwerkstatt","Lernwerkstätten","Einsatz von Laptops","Einsatz von Whiteboards","Einsatz von Beamern","Computerraum","Computerräume","Mediothek","Internetcafé"
"04G13",,,,,,,,,,,,,,,,,,,
"04G14",,,,,,,,,,,,,,,,1,,,
"04G15",,,,,,,,,,,,,,,,,1,,
"04G17",,,,,,,,,,,,,,,,1,,,
"04G18",,,,,1,1,,,,,,,,,1,,1,,
"04G19",,,,,,,,,,,,,,,,,,,
"04G20",,,,,,,,,,,,,,,,,,,
"04G21",,,,,,,,,,,,,,,,,,,
"04G22",,,,,,,,,,,,,,,,,,,
"04G23",,,,,,,,,,,,,,,,,,,
"04G24",,,,,,,,,,1,,,,,,1,,,
"04G25",,,,,,,,,,,,,,,,,,,
"04G26",,,,,,,,,,,,,,,,,,,
"04G27",,,,,,,,,,,,,,,,,,,
"04K02",,,,,,,,,,,,,,,,,1,,
"04K03",,,,,,,,,,,,,,,,,,,
"04K04",,,,,,,,,,,,,,,,,,,
"04K05",,,,,,,,,,,,,,,,,,,
"04K06",,,,,,1,,,,,,,,,,,,,
"04K07",,,,,,,,,,,,,,,,,1,,
"04K08",,,,,,,,,,,,,,,,,1,,
"04K08",,,,,,,,,,,,,,,,,,,
"04K08",,,,,,,,,,,,,,,,,,,
"04P01",,,,,,,,,,,,,,,,,,,
"04P02",,,,,,,,,,,,,,,,,,,
"04P03",,,,,,,,,,,,,,,,,,,
"04P04",,,,,,,,,,,,,,,,,,,
"04P05",,,,,,,,,,,,,,,,,,,
"04P07",,,,,,,,,,,,,,,,,,,
"04P07",,,,,,,,,,,,,,,,,,,
"04P08",,,,,,,,,,,,,,,,,,,
"04P09",,,,,,,,,,,,,,,,,,,
