bsn,Jahrgangsstufe,Klassenart,K,S,SM,SW,N,NM,NW,H,HM,HW
01K05,Jahrgangsstufe 06,Regelklasse,2,33,21,12,10,6,4,28,19,9
01K05,Jahrgangsstufe 07,Regelklasse,4,100,57,43,19,15,4,74,47,27
01K05,Jahrgangsstufe 08,Regelklasse,4,85,37,48,26,9,17,63,29,34
01K05,Jahrgangsstufe 09,Regelklasse,3,74,38,36,29,14,15,61,30,31
01K05,Jahrgangsstufe 10,Regelklasse,4,92,48,44,38,15,23,76,38,38
01K05,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,5,120,65,55,14,9,5,82,46,36
01K06,Jahrgangsstufe 07,Regelklasse,6,153,67,86,66,25,41,146,63,83
01K06,Jahrgangsstufe 08,Regelklasse,4,106,53,53,35,24,11,102,52,50
01K06,Jahrgangsstufe 09,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,5,51,25,26,51,25,26,51,25,26
01K06,Jahrgangsstufe 09,Produktives Lernen,3,37,19,18,8,4,4,13,5,8
01K06,Jahrgangsstufe 09,Regelklasse,4,104,46,58,51,25,26,96,44,52
01K06,Jahrgangsstufe 10,Produktives Lernen,1,14,5,9,4,1,3,4,1,3
01K06,Jahrgangsstufe 10,Regelklasse,2,35,13,22,21,11,10,28,13,15
01K06,Jahrgangsstufe 10,Regelklasse,3,84,38,46,37,16,21,84,38,46
01K07,Jahrgangsstufe 07,Regelklasse,3,78,41,37,16,9,7,58,27,31
01K07,Jahrgangsstufe 08,Regelklasse,5,129,67,62,39,17,22,109,58,51
01K07,Jahrgangsstufe 09,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,12,7,5,12,7,5,12,7,5
01K07,Jahrgangsstufe 09,Regelklasse,5,120,61,59,47,21,26,100,47,53
01K07,Jahrgangsstufe 10,Regelklasse,5,143,73,70,52,21,31,115,55,60
01K08,Jahrgangsstufe 07,Regelklasse,3,72,38,34,18,9,9,58,34,24
01K08,Jahrgangsstufe 08,Regelklasse,6,123,81,42,56,38,18,100,68,32
01K08,Jahrgangsstufe 09,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,3,29,17,12,29,17,12,29,17,12
01K08,Jahrgangsstufe 09,Produktives Lernen,1,21,17,4,4,3,1,11,10,1
01K08,Jahrgangsstufe 09,Regelklasse,6,132,76,56,61,35,26,116,69,47
01K08,Jahrgangsstufe 10,Produktives Lernen,1,29,8,21,7,1,6,17,3,14
01K08,Jahrgangsstufe 10,Regelklasse,6,123,67,56,70,42,28,110,61,49
01K08,Jahrgangsstufe 10,Regelklasse,3,73,37,36,44,22,22,67,34,33
01K09,Jahrgangsstufe 07,Regelklasse,4,87,56,31,42,30,12,76,49,27
01K09,Jahrgangsstufe 08,Regelklasse,6,143,87,56,68,44,24,116,73,43
01K09,Jahrgangsstufe 09,Regelklasse,4,104,59,45,47,27,20,99,56,43
01K09,Jahrgangsstufe 10,Klasse der Staatlichen Europaschule,1,29,10,19,21,9,12,28,10,18
01K09,Jahrgangsstufe 10,Regelklasse,1,26,13,13,25,12,13,25,12,13
01K09,Jahrgangsstufe 10,Regelklasse,1,25,11,14,9,3,6,25,11,14
